Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar,jenisPostingan
13,4,6,2021,tokopedia,Jadi menurut kamu Minto paling ganteng kalo pake model rambut yang mana nih   Pastinya buat berbagai model rambut butuh perawatan yang bedabeda kan kamu gak usah bingung karena ada kolaborasi eksklusif dari Hairnerds Professional x Tokopedia di ZonaGanteng Kamu bisa dapetin flash sale hingga 90  Cashback hingga Rp50Ribu  Langsung aja cari Zona Ganteng di aplikasi Tokopedia atau tap langsung foto di atas ya ,https://www.instagram.com/p/CPr_3iKhjx0,10848,973,Others
14,3,6,2021,tokopedia,Hai Toppers Gimana gimana pada suka gak sama drama perdana Mia yang kemarinan Mia jadi ketagihan main drama nih sekarang hehe Nah ini Mia persembahkan drama kedua yah Silahkan dinikmati  Seperti biasa yah Mia mau ingetin kalau kalian jangan lupa follow tokopediacare untuk info info lebih lengkapnya,https://www.instagram.com/p/CPpoJvXh5-C,16065,1981,Others
19,2,6,2021,tokopedia,Menurut Minto Kamus Besar Rumah Tangga ini berguna banget sih   Katakata apalagi nih yang pernah atau sering kamu denger Gak papa kalau gak mau ngasih tau Minto terserah kamu aja   Tapi kalau urusan belanja sih Minto gak pernah terserah Pokoknya di Home Living Salebration yaah   HomeNLiving HomeLivingSalebration,https://www.instagram.com/p/CPngET1BAWr,18996,1998,Others
17,2,6,2021,tokopedia,Meowngkin ini bisa jadi hadiah buat peliharaan kamu   Perhatikan ada berapa tipe gambar kucing Jawab dan kasih ulasan kenapa kamu butuh tempat makan ini  Cara ikutannya  1 Follow tokopedia   2 Jawab di kolom komentar cukup SEKALI SAJA  3 Tambahkan hashtag TokopehadiahPetLovers serta tag 2 temen kamu di kolom komentar  4 1 satu pemenang yang terpilih akan mendapatkan Pet Food Feeder   5 Pemenang akan diumumkan tanggal 17 Juni 2021 di IG Story  NOTE Boleh menggunakan akun temankeluarga kamu untuk ikutan giveway ini biar kesempatan menang lebih besar  Yuk jawab SEBANYAKBANYAKNYA dengan akun yang berbeda supaya kesempatan menangmu lebih besar dan share postingan ini biar temanteman kamu bisa ikutan  giveawaytokopedia tokopedia hadiah giveawayindonesia giveawayolshop giveawayid giveawayindo giveaway kuis promo petlovers kucing anjing catowner cutecats barking petsofinstagram kucingpersia,https://www.instagram.com/p/CPnV-9uB9P_,81136,4673,giveaway
13,2,6,2021,tokopedia,Plis nonton sampe abis ya videonya pesannya bagus banget menurut Minto  Banyak hal yang kita nggak suka hanya karena kita nggak pernah lagi mau coba Padahal yang kita nggak suka dahulu kala mungkin saja kini malah bikin jatuh cinta  Berikan kesempatan kepada produk buatan Indonesia yang makin kesini makin bikin bangga    BanggaBuatanIndonesia FilosofiPete  Terima kasih kepada semua Seller Lokal Tokopedia yang telah menggaungkan semangatnya  thisisapril_ zaskiamecca_id everwhiteid avoskinbeauty wardahbeauty blpbeauty vaiaofficial wattwalkthetalk erigostore onandonliving dekornata,https://www.instagram.com/p/CPm20nrB37G,22480,1271,Others
15,1,6,2021,tokopedia,Biasanya idaman mertua tuh yang kerja keras bagai quda buat anak istri Ada tipe apa lagi ya kirakira Coba kasih tau Minto di kolom komentar  Berbagai jenis helm yang kamu mau bisa kamu temukan di promo Tokopedia Garage dengan harga hemat Tap gambarnya dan klik produknya,https://www.instagram.com/p/CPkjobUhvAe,16796,1932,Others
14,1,6,2021,tokopedia,Kalau dia membuat kamu merasa berharga kalau Tokopedia membuat uang seribu jadi masih berharga  Banyak barang yang kamu bisa beli dengan harga cuma seribu Cek promo Serba Seribu Tokopedia tap gambarnya dan klik produknya,https://www.instagram.com/p/CPkblzUhcIt,14069,746,Others
18,31,5,2021,tokopedia,Buat tau jawabannya kamu harus jeli ngeliat gambarnya sekalian ngelatih kejelian kamu juga buat liat tukang parkir yang biasanya kalo kita parkir keliatannya nggak ada tapi pas mau keluar langsung ada   Yang udah tau di nomor berapa mobilnya parkir cuss langsung jawab sekarang Ada HP VIVO Y30 menantimu  Baca cara ikutannya dengan teliti yaa  Jawab dan sertakan alasan kamu kenapa mau banget hadiah keren ini   Cara ikutannya  1 Follow tokopedia  tokopediacare  2 Jawab pertanyaan dan tulis kenapa kamu pengen hadiah ini Jawab cukup SEKALI SAJA  3 Tambahkan hashtag TokopehadiahParkir serta tag 2 temen kamu di kolom komentar  4 1 satu Pemenang yang terpilih akan mendapatkan VIVO Y30  5 Pemenang akan diumumkan tanggal 14 Juni 2021 di IG Story  NOTE Boleh menggunakan akun temankeluarga kamu untuk ikutan giveway ini biar kesempatan menang lebih besar  Yuk jawab SEBANYAKBANYAKNYA dengan akun yang berbeda supaya kesempatan menangmu lebih besar dan share postingan ini biar temanteman kamu bisa ikutan  giveawaytokopedia tokopedia hadiah hp giveawayindonesia giveawayolshop giveawayid giveawayindo giveaway kuis promo hadiah android hadiahhp giveawayhp,https://www.instagram.com/p/CPiRc3VBBEh,60441,19158,giveaway
17,31,5,2021,tokopedia,Belajar cara belanja bijak pakai COD di Tokopedia dari tetangga Minto nih Bang Ojak  Simak caranya dengan teliti dan seksama yah Toppers  Bagikan ke kerabat yang membutuhkan informasi ini dan save juga postingannya siapa tau butuh bacabaca lagi   CaraBijakPakaiCOD Tokopedia SelaluAdaSelaluBisa,https://www.instagram.com/p/CPiIiflBl19,19714,809,Others
15,31,5,2021,tokopedia,Menangkan Blackpink Official Light Stick Ver 2  Cara ikutannya 1 FOLLOW tokopedia dan LIKE postingan ini  2SCREENSHOT postingan di atas saat semua member BLACKPINK muncul  3POST DI INSTAGRAM STORY hasil screenshot tersebut mention tokopedia dan gunakan hashtag TokopediaxBlackpink  4Setelah post di Instagram Story TULIS DI KOLOM KOMENTAR POST INI CINTA BLACKPINK  5 Dua 2 Pemenang yang terpilih akan mendapatkan Blackpink Official Light Stick Ver 2  6 Pemenang akan diumumkan tanggal 7 Juni 2021 di IG Story  TokopediaxBlackpink BLACKPINK giveawayblackpink giveawaykpop giveawaygiveawayindonesia giveawayolshop giveawayid giveawayindo giveaway kuis,https://www.instagram.com/p/CPh6N0vBTS2,38883,5269,giveaway
