Jam,Tanggal,Bulan,Tahun,Username,Caption,Link,Like,Komentar,jenisPostingan
10,6,6,2021,shopee_id,Sobat Shopee Siapa yang suka banget berkreasi dalam dunia fashion  Sama dong Nah gimana nih pendapat kamu sama review fashion kece di atas Pastinya kamu juga setuju banget dong Yuk kalau gitu langsung aja TAP 2X ya kalau kamu juga suka banget sama fashion di atas   Nah buat kamu yang punya hobi di seputar dunia fashion jangan lupa untuk FOLLOW Instagram shopeefashion_id ya supaya gak ketinggalan sama informasi dan kontenkonten fashion kekinian menarik lainnya  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPw1rpLDX8F,2934,57,Others
9,6,6,2021,shopee_id, PROMO PUNCAK HARI INI   Hai Sobat Shopee PROMO PUNCAK Shopee 66 Rumah  Hobi Sale RESMI DIMULAI Khusus hari ini kamu bisa belanja sepuasnya dan nikmati banyak promo dari Shopee Mulai dari GRATIS ONGKIR Rp0 Semua Toko Diskon SD 600RB hingga Cashback 60  Jangan sampai ketinggalan juga Flash Sale Serba Seribu  juga Big Brands Rush Hour Langsung aja belanja dan nikmati promonya di sini shopeecoid66  Komen  kalau kamu mau dapetin promo tambahan hari ini ShopeeID 66RumahHobiSale,https://www.instagram.com/p/CPwt_3DjsYD,3615,212,Others
8,6,6,2021,shopee_id,Yuhuu Sobat Shopee  Pilih duet minuman kesukaan kamu Coba deh kamu lihat gambar minumanminuman di atas seger banget ya  Minuman kesukaan kamu yang mana nih Sobat Shopee Kopi susu teh boba atau es kelapa jeruk nih Yuk TAP 2X dan tulis pilihan kamu di kolom komentar ya  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPwsR14jOW1,15497,3870,Others
8,6,6,2021,shopee_id,Yuhuuu Sobat Shopee PROMO PUNCAK Shopee 66RumahHobiSale Resmi dimulai  Khusus HARI INI kamu bisa belanja semua produk incaran  impianmu dan dapatkan banyak promo menarik Mulai dari GRATIS ONGKIR RP0 Voucher CASHBACK 60 hingga Voucher DISKON sd 600RB Mantap kan Langsung aja belanja dan nikmati PROMO PUNCAK di sini  shopeecoid66peakday  TAP 2X dan tulis promo favoritmu ShopeeID,https://www.instagram.com/p/CPwq4n8jSTS,2934,93,Others
15,5,6,2021,shopee_id,Yuhuu Sobat Shopee Ada pilihan hampers spesial untuk new moms nih dari shopeemoms_id  Bagusbagus banget kan hampersnya pastinya berguna banget dong Nah kamu pilih hamper A atau hampers B nih Sobat Shopee Langsung aja LIKE dan komen di kolom komentar ya   Yuk jangan lupa FOLLOW Instagram shopeemoms_id yaa supaya kamu gak kelewatan sama informasi dan kontenkonten menarik lainnya seputar kebutuhan si Kecil dan Moms  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPuyRYYBBP8,9869,2772,Others
14,5,6,2021,shopee_id, LATE NIGHT SALE SPESIAL   Yuhuu Sobat Shopee Pasti semangat banget dong buat belanja malam ini Jangan lewatkan LATE NIGHT SALE mulai pukul 2100  2400 WIB hanya di Shopee Kamu bisa dapatkan Voucher Spesial loh Catat jamnya dan jangan sampai kelewatan promo menarik ini ya Informasi lebih lanjut cek di sini  shopeecoidm66rumahhobisaleteaser  Komen MAU kalau kamu mau dapetin promo EKSTRA ShopeeID 66RumahHobiSale,https://www.instagram.com/p/CPurqOIBNq3,4947,443,Others
13,5,6,2021,shopee_id,Sobat Shopee Pasti kamu mau dong kalo bisa dapetin banyak PROMO dari Shopee Makin semangat deh belanjanya  Nah coba kamu liat namanama jalan di atas Jalan kesukaan kamu yang mana nih Sobat Shopee  Yuk langsung aja TAP 2X dan tulis pilihan kamu di kolom komentar Siapsiap Shopee udah siapin kejutan buat kamu  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPuof03Dtde,20634,5131,Others
11,5,6,2021,shopee_id,Sobat Shopee jangan lewatkan untuk belanja di Midnight Sale 66 Rumah  Hobi Sale MALAM INI  Mulai pukul 0000  0200 WIB kamu bisa belanja sepuasnya dan nikmatin promo spesial seperti GRATIS ONGKIR RP0 FLASH SALE SERBA SERIBU  DISKON SD 600RB  Informasi lebih lanjut cek di sini  shopeecoid66  Komen SIAP buat kamu yang udah siap belanja dan nikmatin banyak promo EKSTRA ShopeeID 66RumahHobiSale,https://www.instagram.com/p/CPuc8APjd8C,4459,197,Others
10,5,6,2021,shopee_id,Yuhuu Sobat Shopee Siapa nih yang suka makan buah dan sayur  Pasti suka dong wajib ya supaya tubuh tetap sehat dan kuat Nah tapi kalau disuruh pilih kamu lebih pilih yang mana nih Tim buah atau tim sayur  Yuk langsung tulis jawaban kamu di kolom komentar Tetap jaga kesehatan ya Sobat Shopee Jangan lupa makan buah dan sayur  ShopeeID ShopeeDariRumah,https://www.instagram.com/p/CPuRyvQDJEv,9605,2503,Others
9,5,6,2021,shopee_id, MALAM INI PROMO PUNCAK 66 RUMAH HOBI SALE   Yuhuu Sobat Shopee HARI INI di 66RumahHobiSale ada Perlengkapan Rumah Day loh  Kamu bisa beli segala kebutuhan kamu dengan DISKON spesial Jangan lupa juga MALAM INI Promo Puncak 66 Rumah  Hobi Sale ada banyak banget promonya mulai dari Gratis Ongkir Xtra Murah Lebay hingga Ekstra Cashback 60 Mantap banget kan Yuk langsung aja belanja dan nikmati promonya di sini  shopeecoidm66rumahhobisaleteaser  Komen MANTAP kalau kamu mau dapetin promo tambahan ShopeeID,https://www.instagram.com/p/CPuNaCjD1jQ,3357,215,Others
